tax_id,tax_name,PR10031_14,PR10013_17,PR10044_33,PR10044_39,PR10025_38,PR10101_36c,PR10039_40,PR10034_25,PR19005_25,PR10043_39c,PR10032_26,PR10047_9,PR10031_24,PR10031_29,PR10036_25,PR10039_15,PR10034_38c,PR10046_39,PR10013_34,PR10013_30,PR10025_27,PR10032_10,PR10046_5,PR10044_7,PR19005_39,PR10039_27,PR10024_37c,PR10046_39c,PR10029_8,PR10025_9,PR10025_17,PR10043_9,PR10024_37,PR10047_39,PR19005_39c,PR19009_15,PR10029_16,PR10046_12,PR10032_39c,PR10031_29c,PR10039_40c,PR10034_7,PR10047_27,PR10043_39,PR19005_16,PR10043_30,PR10101_36,PR10047_39c,PR10032_39,PR10025_38c,PR10036_35,PR10039_8,PR10047_19,PR10024_15,PR10031_8,PR10024_11,PR10013_25
1060,Rhodobacter,0.13101567572754938,0.07552209818384317,0.0,0.0,0.0,0.0,0.0,0.159511448677691,0.0,0.0,0.07738509067519245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7757305419848141,0.0,0.17893746196114174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5857471237342288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10624,Polyomavirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.8123947583615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106589,Cupriavidus,33.70831131617033,37.73971308756376,1.8305369514943628,0.6303635848095579,20.763754914700176,1.1778619642321622,0.23197051229704435,67.47474884152525,1.6590875363943225,2.030104517166014,41.05121658950553,17.1667551087376,12.577549600124765,0.3327996250318777,9.784899146391844,3.772953717380535,0.2575201642053391,1.3229372249909952,90.83691411342974,90.83691411342974,110.78918055995152,118.32112894622429,16.105403246687036,2.0757006812295797,0.0,0.8608771439923195,1.5902176082619282,6.475018096479107,11.873357764328887,96.11474849792191,47.9172749096045,12.117319625959828,118.31835436315214,4.9100550932581415,6.683410736939432,6.097142045393435,12.821183403025026,0.6446621284502551,0.4897864896665068,0.0,1.0907186773386186,2.557036738716848,16.173027362340783,1.9484147825676523,22.891689004450296,1.9232384916584029,0.8137842288478366,14.347682378268109,12.07088349925009,0.0,3.5903531727812283,9.286216451670434,16.091774318793686,90.83691411342974,10.16998263146575,90.83691411342974,90.83691411342974
106633,Thioalkalivibrio,0.04265542227206167,0.7224812510134826,0.0,0.0,0.0,0.16197401186345328,0.0,0.1501461456150783,0.0,0.0,0.06598328010819382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.279828581613825,0.0,0.6090736341014586,0.0,0.0,0.0,0.0,0.051363576241707724,0.0,0.0,0.09308020811004997,1.2796038355147976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3876187167702248,0.0,0.0,0.03765861109267924,0.0,0.0,0.0,0.0010191435383833107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,Rhodomicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07796049868475219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4685295542407821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069494,Trueperella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Spirosoma,0.0,0.0329015901683533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073,Rhodopseudomonas,2.9423165745962536,3.1278214526437567,3.0097804781038664,1.5150405206335538,2.2939534324584234,0.0,0.5633817720969401,4.552842907087316,4.499948410228365,0.0,1.6526830445898262,1.00626428510863,1.307934415000842,0.0,1.344337909739705,0.3373610130537824,0.0,1.1834065315719124,0.0,0.0,8.479814435066183,8.179595199920648,1.9443544072933292,1.006508757833024,0.0,0.0,0.0,0.3382487032247075,0.16560175090492862,7.0458176953311575,4.026888221448405,2.3304906320923795,8.178648119338998,0.8781425598868287,0.4219148024226066,1.2803606681188129,2.6574315837388456,1.176388749350158,0.0,0.0,0.321493027315372,2.4542097976827706,1.4900512932804206,2.2667460304852183,1.9130738108870664,1.0239058161101358,0.0,1.1599776154879529,0.8805938410469528,0.0,0.201214394371088,0.9713919754911648,1.0530416409567678,0.0,1.2710511043412192,0.0,0.0
1081,Rhodospirillum,0.0,0.02114361245646738,0.0,0.5184240196499241,0.0,0.0,0.0,0.0066536335431431025,0.0,0.0,0.0896326399380948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5248908637540475,0.10874800351254504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2596921441644735,0.0,0.0,0.0,0.0,0.0,0.0519422438957458,0.0,0.0,0.0,0.0,0.0,0.0,0.0803848003294299,0.0,0.0,0.07123112008088303,0.0,0.0,0.0,0.0,0.0
1082930,Pelagibacterium,0.12847450163474575,0.2435615256089749,0.0,0.0,0.0,0.0,0.0,0.3694649720277387,0.0,0.0,0.08797248620169114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957311943716038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
